jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|sensorParams|encoders|speed:n,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|clParams|alpha,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=speed,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=speed, 
1003,  1338,  completed,  eof,  2019-04-09 10:49:41,  2019-04-09 10:51:20,  99,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  10283,  11,  1,  14,  None,  3,  521,  None,  275,  0.05005,  0.05015,  1.61708762093,  14.0417385937, 
1003,  1341,  completed,  eof,  2019-04-09 10:49:41,  2019-04-09 10:51:10,  89,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  10283,  9,  1,  12,  None,  1,  521,  None,  28,  0.0001,  0.1,  1.8866796817,  16.3827009481, 
1003,  1347,  completed,  eof,  2019-04-09 10:49:41,  2019-04-09 10:51:34,  113,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  12,  1,  16,  None,  5,  521,  None,  521,  0.1,  0.0003,  1.13789258636,  9.88072015308, 
1003,  1351,  completed,  eof,  2019-04-09 10:49:42,  2019-04-09 10:51:14,  92,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|sensorParams|encoders|speed:n_472.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  10283,  10,  1,  13,  None,  2,  472,  None,  151,  0.025075,  0.075075,  1.20126203978,  10.4309793278, 
1003,  1352,  completed,  eof,  2019-04-09 10:51:10,  2019-04-09 10:52:56,  106,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|sensorParams|encoders|speed:n_492.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  10283,  11,  1,  15,  None,  4,  492,  None,  398,  0.075025,  0.025225,  0.973075912989,  8.44955921077, 
1003,  1353,  completed,  eof,  2019-04-09 10:51:14,  2019-04-09 10:52:45,  91,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|sensorParams|encoders|speed:n_488.modelParams|sensorParams|encoders|_classifierInput|n_162.modelParams|clParams|alpha_0.0192999989787.modelParams|spParams|synPermInactiveDec_0.0785656521553,  10283,  10,  1,  13,  None,  2,  488,  None,  162,  0.0192999989787,  0.0785656521553,  1.7416730786,  15.1235577892, 
1003,  1354,  completed,  eof,  2019-04-09 10:51:21,  2019-04-09 10:52:53,  92,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|sensorParams|encoders|speed:n_488.modelParams|sensorParams|encoders|_classifierInput|n_189.modelParams|clParams|alpha_0.0308500010213.modelParams|spParams|synPermInactiveDec_0.0815543478447,  10283,  10,  1,  13,  None,  2,  488,  None,  189,  0.0308500010213,  0.0815543478447,  1.70078234723,  14.7684892368, 
1003,  1355,  completed,  eof,  2019-04-09 10:51:34,  2019-04-09 10:53:30,  116,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.005285,  10283,  12,  1,  16,  None,  5,  521,  None,  521,  0.1,  0.005285,  1.13554528614,  9.86033772253, 
1003,  1356,  completed,  eof,  2019-04-09 10:52:46,  2019-04-09 10:54:37,  111,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_506.modelParams|sensorParams|encoders|_classifierInput|n_455.modelParams|clParams|alpha_0.092664996936.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  11,  1,  16,  None,  5,  506,  None,  455,  0.092664996936,  0.0003,  1.06792042739,  9.27312737182, 
1003,  1357,  completed,  eof,  2019-04-09 10:52:53,  2019-04-09 10:54:51,  118,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_506.modelParams|sensorParams|encoders|_classifierInput|n_514.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  11,  1,  16,  None,  5,  506,  None,  514,  0.1,  0.0003,  1.07266480142,  9.31432443445, 
1003,  1358,  completed,  eof,  2019-04-09 10:52:56,  2019-04-09 10:54:52,  116,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.005285,  10283,  12,  1,  16,  None,  5,  521,  None,  521,  0.1,  0.005285,  1.13554528614,  9.86033772253, 
1003,  1359,  completed,  eof,  2019-04-09 10:53:30,  2019-04-09 10:55:13,  103,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|sensorParams|encoders|speed:n_491.modelParams|sensorParams|encoders|_classifierInput|n_373.modelParams|clParams|alpha_0.08002.modelParams|spParams|synPermInactiveDec_0.02024,  10283,  10,  1,  15,  None,  4,  491,  None,  373,  0.08002,  0.02024,  1.62581335148,  14.1175071704, 
1003,  1360,  completed,  killed,  2019-04-09 10:54:37,  2019-04-09 10:55:14,  37,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|sensorParams|encoders|speed:n_491.modelParams|sensorParams|encoders|_classifierInput|n_371.modelParams|clParams|alpha_0.0728522811866.modelParams|spParams|synPermInactiveDec_0.0227936236647,  2800,  11,  1,  15,  None,  4,  491,  None,  371,  0.0728522811866,  0.0227936236647,  0.924851776228,  4.70579987229, 
1003,  1361,  completed,  killed,  2019-04-09 10:54:52,  2019-04-09 10:55:14,  22,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|sensorParams|encoders|speed:n_499.modelParams|sensorParams|encoders|_classifierInput|n_418.modelParams|clParams|alpha_0.0770537510213.modelParams|spParams|synPermInactiveDec_0.0276667282757,  1200,  11,  1,  15,  None,  4,  499,  None,  418,  0.0770537510213,  0.0276667282757,  0.451154591666,  4.01454445877, 
1003,  1362,  completed,  killed,  2019-04-09 10:54:52,  2019-04-09 10:55:14,  22,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_503.modelParams|sensorParams|encoders|_classifierInput|n_480.modelParams|clParams|alpha_0.0924734187786.modelParams|spParams|synPermInactiveDec_0.00565858696117,  900,  12,  1,  16,  None,  5,  503,  None,  480,  0.0924734187786,  0.00565858696117,  0.226168650792,  3.88702278038, 
